SPEAKER_20 | 0:0:36.363 --> 0:0:38.658 |  Незаборонені речі, наркотики.
SPEAKER_26 | 1:26:26.832 --> 1:26:30.106 |  Ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ла-ла-ла-ла-ла
SPEAKER_09 | 1:28:49.595 --> 1:29:5.2 |  Марусю, не можна себе так завжди виховати, у людей ще гірше буває, знаєш? Кожен у свій хрест. А отак прилежати все життя все одно не вийде. Давай, будемо вставати.
SPEAKER_06 | 1:29:6.419 --> 1:29:20.628 |  Потихеньку, помаленьку, давай так, о-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на-на
SPEAKER_09 | 1:29:23.716 --> 1:29:41.958 |  Ось. Зараз підеш там на двір. Хлопці там роблять. Гоняєш їм хлібчика. Тримай. А там посидиш з ними. І повітрям подихаєш. І все буде добре. Іди.
SPEAKER_14 | 1:29:57.753 --> 1:29:58.225 |  Доброго дня!
SPEAKER_09 | 1:29:58.934 --> 1:30:3.389 |  Добрий день, Михайлець, привіз Юрку?
SPEAKER_11 | 1:30:4.908 --> 1:30:8.924 |  Привіт. А ти яким світрим?
SPEAKER_09 | 1:30:10.477 --> 1:30:11.742 |  Про дітей прийшла поговорити.
SPEAKER_11 | 1:30:12.147 --> 1:30:12.468 |  Ммм.
SPEAKER_09 | 1:30:15.117 --> 1:30:16.450 |  Твій до нас приходив, знаєш?
SPEAKER_11 | 1:30:19.285 --> 1:30:20.62 |  Знаю, знаю.
SPEAKER_09 | 1:30:26.423 --> 1:30:32.363 |  Чуєш? Ну? Михайсь твій колись з Миною Миросівною друживо.
SPEAKER_18 | 1:30:33.427 --> 1:30:33.815 |  Дякую.
SPEAKER_09 | 1:30:34.186 --> 1:30:39.923 |  Миростя тепер з міста повернулася, вже тут буде. То може вони б поженилися?
SPEAKER_11 | 1:30:40.717 --> 1:30:48.884 |  Знаєш, Дар'я, ти не ображайся, Мій Михайсь, він хлопець роботящий, чесний, а про твою всякі говорить.
SPEAKER_09 | 1:30:50.369 --> 1:30:55.820 |  А людям язики не попрошиваєш. Поговорять і перестануть, а діти собі жити будуть.
SPEAKER_20 | 1:31:0.325 --> 1:31:1.912 |  Так ось.
SPEAKER_11 | 1:31:7.278 --> 1:31:20.525 |  Давай, іди, збирайся. Їхати скоро. Давай-давай-давай. То шо? Ну, на життя, знаєш, і на весілля гроші потрібні, а мене ж...
SPEAKER_09 | 1:31:20.744 --> 1:31:24.608 |  Ну, а в мене все на те будівництво пішло, сам знаєш.
SPEAKER_11 | 1:31:26.718 --> 1:31:27.275 |  Ну, так.
SPEAKER_09 | 1:31:27.983 --> 1:31:32.827 |  Але хату на дітей перепишемо. Та й весілля на себе беру.
SPEAKER_11 | 1:31:36.421 --> 1:31:42.766 |  А Дмитро не проти буде, він же на тій будові днював і ночував.
SPEAKER_09 | 1:31:47.930 --> 1:31:48.892 |  Тут чекати святів?
SPEAKER_11 | 1:31:58.72 --> 1:32:2.341 |  Слухай, давай за здоров'я молодих почерчень, а?
SPEAKER_09 | 1:32:3.944 --> 1:32:5.294 |  По черчені з Дмитром вип'єш.
SPEAKER_10 | 1:32:6.104 --> 1:32:27.822 |  А я все не нагнів, але я гнів не тримаю. Я жовта не сподіваюся, бо я жаху знаю. Коли ж така жахювала, коли ж така добра, коли дала мені знати, коли з нами вдома.
SPEAKER_00 | 1:32:25.814 --> 1:32:26.287 |  Олесь!
SPEAKER_10 | 1:32:28.514 --> 1:32:33.560 |  Сама вдома, сама вдома ходять хлопці-дмині,
SPEAKER_00 | 1:32:28.868 --> 1:32:30.758 |  Сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дома, сама Дом
SPEAKER_10 | 1:32:34.150 --> 1:32:39.230 |  Чоловіка й нема дома у зеленій думнині.
SPEAKER_00 | 1:32:34.184 --> 1:32:37.745 |  Чоловіка й нема дома у зелені,
SPEAKER_10 | 1:32:39.938 --> 1:32:45.102 |  Чоловіка нема вдома, чоловік у лісі.
SPEAKER_00 | 1:32:40.968 --> 1:32:41.693 |  Дякую!
SPEAKER_10 | 1:32:45.659 --> 1:32:50.907 |  Прийде, прийде на діляку, нічого не вісить.
SPEAKER_18 | 1:32:45.693 --> 1:32:47.26 |  Придя, придя!
SPEAKER_09 | 1:32:47.26 --> 1:32:50.772 |  Нічого не вісить.
SPEAKER_10 | 1:32:51.481 --> 1:32:56.780 |  Та не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не бійся, не б
SPEAKER_09 | 1:32:51.498 --> 1:32:59.277 |  Та не віселий, не хумого чоловіка, доки у мене окошко.
SPEAKER_10 | 1:32:57.353 --> 1:33:2.720 |  Доки у мене вошку зіля, доки в кого віка.
SPEAKER_09 | 1:32:59.767 --> 1:33:1.977 |  Дякую за перегляд!
SPEAKER_10 | 1:33:3.158 --> 1:33:8.356 |  Досі в мене у мошку зіля того зеленого,
SPEAKER_09 | 1:33:3.260 --> 1:33:3.547 |  До зустрічі!
SPEAKER_10 | 1:33:9.82 --> 1:33:20.320 |  Дотів тебе лігіньку, життя молодого, Та я збали на долину камінчик візьміно,
SPEAKER_11 | 1:33:16.253 --> 1:33:20.152 |  Ренат Олено, Кам'янецький візиток!
SPEAKER_10 | 1:33:20.962 --> 1:33:36.335 |  Та надійси, файна луко, що я з вечір прийду. Та надійси, файна луко, милене само.
SPEAKER_18 | 1:33:35.575 --> 1:33:41.26 |  Субтитрувальниця Оля Шор
SPEAKER_09 | 1:34:12.582 --> 1:34:13.72 |  Пронта.
SPEAKER_17 | 1:34:13.747 --> 1:34:21.3 |  Даринка? Пронто, не почуваю. Даринка, пронто? Я Олександр. Чуєш мене?
SPEAKER_25 | 1:34:21.965 --> 1:34:22.977 |  Алісандро!
SPEAKER_17 | 1:34:25.542 --> 1:34:47.311 |  Доброго дня, Даринка, я бачив тебе багато разів, але не вийшов, як ти? Слухай, я зустрів Галію, я зустрів її в церкві. Вона сказала, що ти вбитий, що чекаєш дитину.
SPEAKER_16 | 1:34:49.235 --> 1:34:52.441 |  Вірно, це більше, ніж я зробив.
SPEAKER_17 | 1:34:53.234 --> 1:34:55.647 |  – Хлопчик. – Пронто.
SPEAKER_16 | 1:34:59.22 --> 1:35:10.463 |  Дарінка, ель міо. Пронто, Дарінка. Дарінка, ріспонди. Дарінка.
SPEAKER_06 | 1:35:10.463 --> 1:35:11.105 |  Ні, не можу.
SPEAKER_12 | 1:35:55.773 --> 1:35:56.26 |  Дякую.
SPEAKER_18 | 1:36:10.235 --> 1:36:11.500 |  Порохнулась.
SPEAKER_14 | 1:36:31.328 --> 1:36:31.835 |  Дякую.
SPEAKER_09 | 1:36:46.499 --> 1:36:48.170 |  Давай, спой, набігай все за цілий день.
