SPEAKER_16 | 0:0:0.419 --> 0:0:13.463 |  Століттями Київська Русь перебувала в страху перед язичницькими богами і поставили на горі ідол Перуну, володарю Грому та Блискавки, і приносили йому жертви, називаючи богом своїм.
SPEAKER_02 | 0:52:10.343 --> 0:52:11.812 |  Мальок, якби не ти, все.
SPEAKER_12 | 0:52:15.507 --> 0:52:17.498 |  Вікі, а ти в порядку?
SPEAKER_02 | 0:52:19.878 --> 0:52:20.958 |  Вікі, вони вже пішли.
SPEAKER_12 | 0:52:22.240 --> 0:52:24.974 |  Вік і все. Їх більше немає.
SPEAKER_02 | 0:52:25.548 --> 0:52:26.54 |  Дякую.
SPEAKER_12 | 0:52:26.476 --> 0:52:27.151 |  Йдіть.
SPEAKER_02 | 0:52:27.877 --> 0:52:28.315 |  Дивіться.
SPEAKER_12 | 0:52:28.315 --> 0:52:30.965 |  Піки.
SPEAKER_05 | 0:52:30.965 --> 0:52:31.454 |  Віки!
SPEAKER_02 | 0:52:32.990 --> 0:52:37.563 |  Води! Води! Дайте води! Вона знепритомнила! Ну!
SPEAKER_06 | 0:52:38.491 --> 0:52:38.930 |  Вікид!
SPEAKER_02 | 0:52:39.638 --> 0:52:40.752 |  До нас добре то було.
SPEAKER_06 | 0:52:40.786 --> 0:52:41.377 |  Вікі!
SPEAKER_02 | 0:52:42.288 --> 0:52:42.760 |  Вікі!
SPEAKER_06 | 0:52:43.216 --> 0:52:43.688 |  Вікір!
SPEAKER_02 | 0:52:43.604 --> 0:52:44.667 |  Вікі, просинайся!
SPEAKER_06 | 0:52:45.460 --> 0:52:45.983 |  Давай!
SPEAKER_04 | 0:52:49.375 --> 0:53:8.512 |  Вікі, зробіть щось. Не може бути, Вікі. Вікі, тримайся. Вона жива. Зробіть щось. Зробіть. Допоможіть їй. Допоможіть.
SPEAKER_07 | 0:53:9.963 --> 0:53:15.245 |  Не дозволюйте цих лідерів! Ні! Допоможіть! Я не знаю, що зробити!
SPEAKER_04 | 0:53:13.135 --> 0:53:13.726 |  Дякую!
SPEAKER_07 | 0:53:15.785 --> 0:53:19.109 |  Поживемо! Потримайте гада з віцею! Я знаю!
SPEAKER_18 | 0:53:21.438 --> 0:53:21.742 |  Субтитрувальниця Оля Шор
SPEAKER_07 | 0:53:21.742 --> 0:53:22.28 |  Дякую!
SPEAKER_18 | 0:53:22.28 --> 0:53:35.967 |  Петро! Петро, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не,
SPEAKER_17 | 0:53:34.432 --> 0:53:36.18 |  Чекайте, зверніть увагу!
SPEAKER_02 | 0:53:40.321 --> 0:53:53.332 |  Треба тебе поверти! Він не може мої залишати, Біта. У тебе кров.
SPEAKER_05 | 0:54:4.891 --> 0:54:5.785 |  Де суди?
SPEAKER_02 | 0:54:7.0 --> 0:54:7.979 |  Навіщо він тобі?
SPEAKER_05 | 0:54:38.827 --> 0:54:40.193 |  Ми ходимо кругами.
SPEAKER_12 | 0:54:44.108 --> 0:54:49.289 |  Я не знаю, що це, але воно нас чує хібащить.
SPEAKER_08 | 0:54:49.964 --> 0:54:50.757 |  Воно?
SPEAKER_12 | 0:54:52.158 --> 0:54:56.933 |  Де навіки стали трофеями, така самоучасть чекає на нас.
SPEAKER_05 | 0:54:57.119 --> 0:55:18.213 |  У тебе від страху параной розіграли ці психи, з ними трапився нещасний випадок і трапився через тебе. Так? Два рази підряд. Я всю дорогу досвідчаю знаки, написані кров'ю на стінах. І тільки тепер я зрозумів, це не просто знаки, а старослав'янські літери. А чи ти мовчав, вродок?
SPEAKER_02 | 0:55:18.550 --> 0:55:20.86 |  Малек, що вони означають?
SPEAKER_05 | 0:55:20.508 --> 0:55:25.469 |  Це якесь стародавнє слово. Але я не можу зрозуміти, яке. Бо не вистачає літер.
SPEAKER_02 | 0:55:26.431 --> 0:55:27.916 |  А може воно вказує на вихід?
SPEAKER_12 | 0:55:28.675 --> 0:55:36.134 |  Можливо. Нам треба скоріше йти звідси, а як знайдемо вихід, то повернемося. Аааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа
SPEAKER_06 | 0:55:36.134 --> 0:55:37.687 |  Дякую.
SPEAKER_06 | 0:55:37.754 --> 0:55:38.24 |  Дякую!
SPEAKER_07 | 0:55:38.159 --> 0:55:57.920 |  Чого тут відбувається? Я божеволюю, що тут відбувається, хто тут, що тобі у нас треба? Виходь, побачимо якихось людей. Іди до мене.
SPEAKER_12 | 0:57:5.572 --> 0:57:13.672 |  Ми знову прийшли на місце, де вже були. Там за поворотом завалило об'єднання.
SPEAKER_05 | 0:57:33.365 --> 0:58:14.827 |  Ну що, мудак? Добігався? Біт, ти про що? Не грає ідіота, малюк. Я тебе давно розкусив. Це ти малював знаки кров'ю на стінах. Це ти убив Вікі і Дена. Я знаю. Біт, як тобі я зик порвався таке сказати? Я нічого не робив, а ці знаки я змалював зі стін. Закрий рот, улюбленець. Я ніколи тобі не вірив. Я був проти, щоб ти з нами пішов. А тепер говори, якого хрена ти нас сюди залишив?
SPEAKER_07 | 0:58:16.447 --> 0:58:45.337 |  Я буду так висадити твій мозок на стіну! Ти хочеш цього? Хочеш? Ну, давай! Давай, стріляй! Я більше не можу так жити! Скільки ти можеш мені робити зла? За що? Що я тобі зробив? Давай! Давай! Хіба ти не зможеш? Ти ж такий сильний! Я не противлюся! Тільки натисни на гачок, і все! Давай! Давай! Ну! Ну!
SPEAKER_05 | 0:58:53.352 --> 0:59:3.899 |  Я не знаю, що це за знаки. Я їх змалював зі стін. Я думав, вони вказують на вихід. Ідіот.
SPEAKER_02 | 0:59:6.160 --> 0:59:7.358 |  Чіла, де вона пропала?
SPEAKER_12 | 0:59:11.290 --> 0:59:30.747 |  А от і наступний знак. Тепер я знаю це точно.
SPEAKER_02 | 0:59:31.557 --> 0:59:32.333 |  Ну і що?
SPEAKER_12 | 0:59:34.342 --> 0:59:37.362 |  Вона бачить нас і йде за нами.
SPEAKER_02 | 0:59:37.598 --> 0:59:41.328 |  Мальок, не треба так говорити. Будь ласка.
SPEAKER_12 | 0:59:42.610 --> 0:59:52.685 |  Денне Вікі загинуло не просто так. Нас бачить те, чого ми побачити не можемо.
SPEAKER_07 | 1:0:16.968 --> 1:0:24.38 |  Гіда, стріляй! Стріляй! Давай, стріляй, ну! Стріляй, Гіда! Стріляй!
SPEAKER_17 | 1:0:47.5 --> 1:0:48.423 |  Ха-ха-ха...
SPEAKER_02 | 1:0:51.781 --> 1:1:8.673 |  Я здогадувалася, що це він, але боялась навіть у голос таке говорити. Він навмисно заманив нас сюди, щоб вбити. Псіх ненормальний. А ми ще думали, куди він пропав.
SPEAKER_05 | 1:1:12.470 --> 1:1:14.444 |  Але для чого він це зробив?
SPEAKER_02 | 1:1:15.338 --> 1:1:20.587 |  Він помішаний був на всяких обрядах, от і хотів, видно, посвятити нас якийсь ритуал.
SPEAKER_05 | 1:1:21.532 --> 1:1:30.37 |  Ублюдок, тепер має ритуал. Це тобі заде на віки. Я до кінця не вийду.
SPEAKER_12 | 1:1:30.37 --> 1:1:54.978 |  Я більше не можу повірити, що він це зробив. Все. Я більше не можу. Тоді привал п'ять хвилин і підем далі. Їсти хочеш?
SPEAKER_05 | 1:1:54.978 --> 1:1:55.366 |  Що?
SPEAKER_05 | 1:1:56.446 --> 1:1:58.437 |  Наразі...
SPEAKER_12 | 1:2:6.301 --> 1:2:8.647 |  М? Що це? Булочка?
SPEAKER_05 | 1:2:12.308 --> 1:2:17.877 |  Я ніколи не думав, що буду радий чистому хлібові. Прикинь.
SPEAKER_05 | 1:2:18.991 --> 1:2:21.455 |  А зараз би смажену курочку з салатиком.
SPEAKER_12 | 1:2:21.455 --> 1:2:23.513 |  Дякую.
SPEAKER_05 | 1:2:23.513 --> 1:2:34.330 |  А мене більше від солодкого, пре, зефір, шоколад. Зараз кілограма два з'їв би і не стошнило.
SPEAKER_02 | 1:2:36.760 --> 1:2:37.452 |  Відкривеш?
SPEAKER_00 | 1:2:38.77 --> 1:2:39.528 |  Того ж знаєш, скільки років.
SPEAKER_02 | 1:2:40.473 --> 1:3:17.125 |  Вона ж герметично закрита. Відкривай. Навіть смачно. Ні, справді. Шпоби!
SPEAKER_15 | 1:3:17.125 --> 1:3:17.480 |  Ну?
SPEAKER_00 | 1:3:18.779 --> 1:3:34.675 |  Угу, ніж я собі стільки розв'язав і не зупсувався. Біда, надо хавай. Ну і хоч.
SPEAKER_17 | 1:3:35.215 --> 1:3:35.536 |  Дякую!
SPEAKER_00 | 1:3:45.256 --> 1:3:45.863 |  Що таке?
SPEAKER_02 | 1:3:46.910 --> 1:3:47.939 |  Там щось повернулося.
SPEAKER_00 | 1:3:48.783 --> 1:3:49.610 |  Поворушилась?
SPEAKER_02 | 1:3:50.588 --> 1:3:51.61 |  Угу.
SPEAKER_17 | 1:3:56.495 --> 1:4:5.270 |  Дякую за перегляд!
SPEAKER_04 | 1:4:5.270 --> 1:4:5.759 |  Дякую!
SPEAKER_04 | 1:4:5.995 --> 1:4:6.620 |  Ні!
SPEAKER_04 | 1:4:7.312 --> 1:4:9.674 |  Ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла
SPEAKER_07 | 1:4:10.113 --> 1:4:10.518 |  Субтитрувальниця Оля Шор
SPEAKER_07 | 1:4:10.973 --> 1:4:11.969 |  Оце поїв.
SPEAKER_03 | 1:4:13.336 --> 1:4:15.412 |  Я твого не помітила.
SPEAKER_07 | 1:4:41.28 --> 1:4:52.874 |  Біта! Біт живий! Біта! Біт живий! Де маєш жити, Біта? Ти чуєш мене? Труби іщусь! Біта, ну, давай!
SPEAKER_04 | 1:4:52.975 --> 1:4:56.283 |  Додамо й!
SPEAKER_07 | 1:4:56.603 --> 1:4:57.329 |  І так.
SPEAKER_05 | 1:5:0.29 --> 1:5:0.586 |  Дякую за перегляд!
SPEAKER_05 | 1:5:1.25 --> 1:5:2.71 |  Ще одна паста.
SPEAKER_12 | 1:5:12.787 --> 1:5:25.173 |  У моєї дружини серцевий напад. Мені потрібно терміново відлучитися. Продовжуйте розкопки. Скоро буду ваш професор.
SPEAKER_02 | 1:5:26.692 --> 1:5:29.476 |  Але чому він нам її не показав?
SPEAKER_05 | 1:5:29.847 --> 1:5:36.665 |  Він хотів, щоб ми були впевнені, що професор тут, у цій штольні.
SPEAKER_02 | 1:5:37.2 --> 1:5:38.673 |  Але навіщо це йому було потрібно?
SPEAKER_05 | 1:5:38.740 --> 1:5:51.515 |  Біта хотів знайти і до оперона, але боявся, що з ним ніхто не піде. Пам'ятаєш? Це ж його було припущення, що професор зламав решітку і сам поліз у штольню.
SPEAKER_02 | 1:5:57.134 --> 1:5:57.657 |  Малюк.
SPEAKER_12 | 1:5:58.552 --> 1:5:58.872 |  Ще.
SPEAKER_02 | 1:5:58.872 --> 1:6:3.445 |  Мені страшно. Не залишай мене, будь ласка.
SPEAKER_12 | 1:6:4.424 --> 1:6:5.555 |  Я тебе не залишу.
SPEAKER_02 | 1:6:20.33 --> 1:6:20.793 |  Що це?
SPEAKER_05 | 1:6:22.227 --> 1:6:25.467 |  Це старослав'янське слово – треба.
SPEAKER_02 | 1:6:27.830 --> 1:6:28.943 |  Що воно означає?
SPEAKER_12 | 1:6:33.652 --> 1:6:45.295 |  Жертва, одна буква, один труп. А ми з тобою наступні.
SPEAKER_02 | 1:6:45.295 --> 1:6:48.198 |  Дікаємо! Дікаємо!
SPEAKER_05 | 1:6:54.644 --> 1:6:55.538 |  Унікіс Двей.
SPEAKER_02 | 1:7:41.202 --> 1:7:42.29 |  От і все.
SPEAKER_12 | 1:8:24.892 --> 1:8:25.516 |  Пішли.
SPEAKER_07 | 1:8:34.493 --> 1:8:35.405 |  Там тупі!
SPEAKER_02 | 1:9:11.990 --> 1:9:13.947 |  Боже мій, що це?
SPEAKER_07 | 1:9:26.47 --> 1:9:30.29 |  Кран! Треба закрити кран!
SPEAKER_18 | 1:9:38.888 --> 1:9:44.238 |  Йосип! Закривай його! Ну, давай! Закривай!
SPEAKER_17 | 1:9:41.774 --> 1:9:42.128 |  Субтитрувальниця Оля Шор
SPEAKER_00 | 1:9:42.128 --> 1:9:43.597 |  Вітаю!
SPEAKER_18 | 1:9:44.744 --> 1:9:52.490 |  Я не можу, я не можу! Ну, давай! А що за топлі? Мамо мій!
SPEAKER_07 | 1:9:57.400 --> 1:10:0.505 |  Там є вітери, ціни очі, давай спробуємо туди.
SPEAKER_19 | 1:10:0.893 --> 1:10:2.277 |  Дякую!
SPEAKER_07 | 1:10:3.155 --> 1:10:4.893 |  Трива! Трива!
SPEAKER_19 | 1:10:6.209 --> 1:10:14.630 |  Ну, давай, я тобі допоможу, давай!
SPEAKER_07 | 1:10:14.630 --> 1:10:14.950 |  Так!
SPEAKER_19 | 1:10:14.663 --> 1:10:15.153 |  Так.
SPEAKER_19 | 1:10:15.659 --> 1:10:16.604 |  Ще, ще, трохи!
SPEAKER_18 | 1:10:16.199 --> 1:10:16.756 |  Дякую!
SPEAKER_07 | 1:10:16.604 --> 1:10:16.958 |  Селі!
SPEAKER_19 | 1:10:17.650 --> 1:10:17.971 |  Ні!
SPEAKER_19 | 1:10:18.55 --> 1:10:18.477 |  Субтитрувальниця Оля Шор
SPEAKER_18 | 1:10:18.477 --> 1:10:19.540 |  Я не можу!
SPEAKER_17 | 1:10:18.815 --> 1:10:19.118 |  Дякую!
SPEAKER_07 | 1:10:19.118 --> 1:10:19.979 |  Давай, давай!
SPEAKER_17 | 1:10:19.540 --> 1:10:19.912 |  Дякую!
SPEAKER_18 | 1:10:23.17 --> 1:10:36.972 |  Давай, Валюк, давай! Я не можу! Давай, давай! Я не затягуюсь! Давай, Іллі, йди! Іллі, моя рука!
SPEAKER_07 | 1:10:36.972 --> 1:10:37.512 |  Доброго дня!
SPEAKER_07 | 1:10:37.597 --> 1:10:41.647 |  Дякую за перегляд!
SPEAKER_07 | 1:10:41.849 --> 1:10:42.575 |  Дякую!
SPEAKER_20 | 1:10:42.575 --> 1:10:48.42 |  Давай, давай, давай, друзі!
SPEAKER_07 | 1:10:48.278 --> 1:10:48.903 |  Дякую!
SPEAKER_07 | 1:10:48.953 --> 1:10:53.510 |  Чуєш мене, ми можемо! Можемо! Можемо!
SPEAKER_12 | 1:10:55.467 --> 1:10:57.627 |  Сможем.
SPEAKER_07 | 1:11:14.705 --> 1:11:35.528 |  Женечко, давай, лізь сюди, давай, говоріть їм, куди підійдеш? Куди підійдеш, давай! Давай, лізь вперед, давай!
SPEAKER_04 | 1:11:39.427 --> 1:11:43.156 |  Ти лізеш!
SPEAKER_02 | 1:12:11.118 --> 1:12:21.175 |  Мальок! Мальок, ти ж позаду! Правда?
SPEAKER_03 | 1:12:37.257 --> 1:13:8.20 |  Малюк! Малюк! Малюк! Малюк!
SPEAKER_17 | 1:13:17.302 --> 1:13:57.835 |  Чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи- чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи-чи- чи-чи-чи- чи-чи-чи- чи-чи- чи-чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи- чи Субтитрувальниця Оля Шор
SPEAKER_04 | 1:13:57.835 --> 1:14:3.151 |  Хто ви такі вороги? Що ви від нас треба?
SPEAKER_08 | 1:14:5.767 --> 1:14:7.235 |  Ви вкрали у нас все.
SPEAKER_04 | 1:14:7.235 --> 1:14:7.522 |  Дякую!
SPEAKER_08 | 1:14:8.433 --> 1:14:12.787 |  Ви змусили нас віками переховуватись під земельною.
SPEAKER_08 | 1:14:12.922 --> 1:14:14.52 |  Дуже цікаво.
SPEAKER_17 | 1:14:12.989 --> 1:14:13.394 |  Дякую!
SPEAKER_08 | 1:14:14.137 --> 1:14:15.453 |  Прийшов Івашка.
SPEAKER_17 | 1:14:15.98 --> 1:14:21.460 |  Ваш колець. Я не...
SPEAKER_08 | 1:14:23.705 --> 1:14:36.530 |  Моя юність пройшла, а з нею сподівання на краще життя. А зараз мною керує бажання плацти і з нею повернути нашу...
SPEAKER_04 | 1:14:40.512 --> 1:14:43.415 |  Що ми тобі зробили?
SPEAKER_08 | 1:14:44.427 --> 1:15:2.45 |  і проростання жертва, яку я принес в корону. Ви всі згадуєте. Він вдарить з неба блискавкою і винищить вас. І винищить всіх вас невільних.
SPEAKER_18 | 1:15:3.361 --> 1:15:5.32 |  Майлок! Майлок!
SPEAKER_07 | 1:15:9.250 --> 1:15:17.975 |  Потерпи! Валюк! У тебе нічого не вийде!
SPEAKER_09 | 1:15:17.975 --> 1:15:28.100 |  Ви всі відступники, християни, і ти разом з ними, і зараз ти за це запрошуєш.
SPEAKER_06 | 1:15:42.865 --> 1:15:44.452 |  Відносить і ще!
SPEAKER_06 | 1:15:45.650 --> 1:15:45.970 |  Чи завжди?
SPEAKER_06 | 1:15:46.38 --> 1:15:46.966 |  Не знився на 10.
SPEAKER_21 | 1:15:46.966 --> 1:15:49.25 |  Ти завжди був слабаком.
SPEAKER_04 | 1:16:13.645 --> 1:16:18.185 |  Тіканин! Тіканин! Швидий тіканин!
SPEAKER_06 | 1:16:20.952 --> 1:16:21.492 |  Вихід!
SPEAKER_04 | 1:16:22.83 --> 1:16:23.163 |  Не може бути!
SPEAKER_03 | 1:16:26.386 --> 1:16:30.115 |  Мальок, ми знайшли його! Ми зараз виберемося звідси!
SPEAKER_17 | 1:16:53.707 --> 1:16:58.988 |  Дякую за перегляд!
SPEAKER_12 | 1:17:1.958 --> 1:17:2.617 |  Тримаю.
SPEAKER_06 | 1:17:8.219 --> 1:17:17.787 |  Давай, допоможу. Давай скоріше.
SPEAKER_13 | 1:17:23.423 --> 1:17:30.410 |  Давай! Ну, давай!
SPEAKER_07 | 1:17:31.152 --> 1:17:34.595 |  От і забрали.
SPEAKER_03 | 1:17:39.168 --> 1:17:40.62 |  От і все.
SPEAKER_17 | 1:17:49.968 --> 1:18:7.28 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 1:18:9.998 --> 1:18:26.435 |  Завіщо вони поїхали туди? Студенти навіть не чекали біди. Моментами їм здавалося прикольно залізти під землю у штольню. От так це цікаво, це збуджує стан, але від підземелья загубили вони план. Що тепер робити будемо, по якому?
SPEAKER_22 | 1:18:26.435 --> 1:18:45.976 |  У коридор підемо, не знаємо, шукаємо Штольня Спочатку було дуже весело Прикольно А потім стало темно, страшно Больно Багато таємниць ховаєш Штольня Штольня Штольня Спочатку було дуже весело Прикольно А потім стало темно, страшно Больно Багато таємниць ховаєш
SPEAKER_21 | 1:18:45.976 --> 1:19:10.23 |  Штольня, штольня Ось коли бачиш своїх друзів наскрізь Крок іще крок, зупинись, повернись Подивись, хто стоїть за спиною Проводи обережно по стіні рукою Бавути на серце б'ється безупинно Мене зрозуміють всі, хто побачить цю картину Якщо людину загубити під землею Хто буде з нею, що буде з нею? Штольня Спочатку було дуже весело і приємно
SPEAKER_22 | 1:19:10.23 --> 1:19:53.999 |  Прикольно, а потім стало темно-страшно. Больно, багато таємниць ховаєш. Штольня, штольня, штольня. Спочатку було дуже весело. Прикольно, а потім стало темно-страшно. Больно, багато таємниць ховаєш. Штольня, штольня. Все одно я тебе знайду, вже не відпущу, одну не залишу. Я не знаю, які двері відкриваю, але все одно тебе я відшукаю. Та хто пройде цей страшний коридор, якщо не я, тоді хто-хто-хто? Так треба, немає неба над головою, але ми виберемося з тобою Штольня! Спочатку було дуже весело і прикольно, а потім стало темно страшно і больно Багато троєм не сховаєш, штольня!
SPEAKER_17 | 1:19:53.999 --> 1:19:54.438 |  Музика
SPEAKER_22 | 1:19:54.438 --> 1:19:55.248 |  Субтитрувальниця Оля Шор
SPEAKER_17 | 1:19:54.725 --> 1:19:56.446 |  Субтитрувальниця Оля Шор
SPEAKER_22 | 1:19:55.670 --> 1:20:0.749 |  Впочатку було дуже весело і прикольно, а потім стало тимно страшно і больно.
SPEAKER_17 | 1:19:58.167 --> 1:19:58.572 |  Субтитрувальниця Оля Шор
