SPEAKER_09 | 0:0:36.329 --> 0:0:38.67 |  Можемо починати, пані доктор.
SPEAKER_28 | 1:10:11.457 --> 1:10:13.567 |  Ха-ха-ха!
SPEAKER_20 | 1:10:20.738 --> 1:10:22.696 |  Краще не треба більше сюди приходити.
SPEAKER_14 | 1:10:23.810 --> 1:10:25.58 |  Що ви таке кажете, отче?
SPEAKER_20 | 1:10:26.577 --> 1:10:30.678 |  Це неправильно, Стефо. Я знаю, як ти тяжко горуєш у своїх господарів.
SPEAKER_14 | 1:10:31.589 --> 1:10:32.922 |  Але мені це за щастя.
SPEAKER_20 | 1:10:33.395 --> 1:10:47.941 |  Людина має отримувати за свою працю винагороду. А мені немає чим тобі платити. Що ти? Ну що? Стої в цьому.
SPEAKER_14 | 1:10:49.510 --> 1:10:49.831 |  Субтитрувальниця Оля Шор
SPEAKER_13 | 1:10:50.843 --> 1:10:50.978 |  Дякую!
SPEAKER_14 | 1:10:50.978 --> 1:10:51.940 |  Я вмію тільки це.
SPEAKER_13 | 1:10:52.767 --> 1:10:52.784 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 1:10:52.784 --> 1:11:0.968 |  Тільки служити, тільки так я можу бути корисною. Любов — це ж дбати про інше.
SPEAKER_08 | 1:11:0.968 --> 1:11:2.588 |  і забути про себе.
SPEAKER_13 | 1:11:9.676 --> 1:11:10.233 |  Йосифе.
SPEAKER_20 | 1:11:12.528 --> 1:11:17.641 |  Дякую тобі. Дякую, що вчиш мене божественою любов'ю.
SPEAKER_33 | 1:11:48.640 --> 1:11:54.445 |  Перепрошую, нам стало відомо, що в цьому будинку мешкає гумовий хлопчик з цирку «Колізей». Хто-хто?
SPEAKER_25 | 1:11:54.817 --> 1:11:58.647 |  Я прошу пана не блезнювати, а негайно видати нам того малого злочинця.
SPEAKER_19 | 1:11:59.778 --> 1:12:6.89 |  Ну, а що ви? У нас таких немає. Є тільки сирота на ім'я Фелікс, якого ми тримаємо з милості.
SPEAKER_15 | 1:12:6.89 --> 1:12:6.106 |  Субтитрувальниця Оля Шор
SPEAKER_33 | 1:12:7.0 --> 1:12:19.353 |  То, може, панове, нам його покажуть? А що ж такого зробив той хлопчик? Малий шахрай. У змові з аферистом-люзіагістом Ренестом Торном вони пограбували тільки храмів у нашому окрузі шляхом проникнення через димарі.
SPEAKER_14 | 1:12:19.927 --> 1:12:20.416 |  Я киже.
SPEAKER_21 | 1:12:26.440 --> 1:12:29.22 |  Феліксе! Феліксе! Вийди сюди!
SPEAKER_33 | 1:12:44.58 --> 1:12:48.631 |  Що це означає? Але, прошу пане, відомості точні.
SPEAKER_26 | 1:12:53.255 --> 1:13:2.603 |  Я перепрошую, шановне панство. Сталася пригра помилка. Моє шанування, фольк мій ідіотен.
SPEAKER_28 | 1:13:7.750 --> 1:13:9.775 |  Субтитрувальниця Оля Шор
SPEAKER_17 | 1:13:14.939 --> 1:13:20.491 |  Ну що, панове аферисти, тепер починайте зворотній процес, бо таким опецькам в моєму домі не місце.
SPEAKER_28 | 1:13:30.194 --> 1:13:58.898 |  Дякую за перегляд!
SPEAKER_14 | 1:14:10.373 --> 1:14:32.530 |  Отже, салата зелена на французький спосіб, салата з неварених яблуків і оселеців, шодо молочне ванількове, чоколадова галерета, торт захира, торт з яблук помедіоланський, морозова цитринова і оршада. З днем народження, Адель! Це буде найкраща вечеря.
SPEAKER_13 | 1:14:46.688 --> 1:14:47.566 |  Федіксе.
SPEAKER_20 | 1:14:47.937 --> 1:14:48.730 |  Дякую!
SPEAKER_13 | 1:14:52.544 --> 1:14:53.135 |  Йосифе?
SPEAKER_20 | 1:14:53.489 --> 1:14:57.742 |  Ставь цю. Я маю поговорити.
SPEAKER_13 | 1:14:57.910 --> 1:14:58.872 |  Йосиф, і не зараз.
SPEAKER_20 | 1:14:58.872 --> 1:15:3.344 |  Чи вдома пані Аделя? Мені треба поговорити з нею.
SPEAKER_13 | 1:15:3.968 --> 1:15:4.492 |  Все так?
SPEAKER_11 | 1:15:20.17 --> 1:15:21.248 |  Феліксе, я йду!
SPEAKER_21 | 1:15:34.883 --> 1:15:35.710 |  Доброго здоров'я, пані Олексій.
SPEAKER_27 | 1:15:36.233 --> 1:15:36.284 |  Субтитрувальниця Оля Шор
SPEAKER_21 | 1:15:36.284 --> 1:15:36.638 |  Дякую!
SPEAKER_28 | 1:16:4.685 --> 1:16:10.760 |  Дякую за перегляд!
SPEAKER_36 | 1:16:29.69 --> 1:16:30.217 |  Що з вами, моя пані?
SPEAKER_14 | 1:16:32.56 --> 1:16:32.748 |  Чого вам трапилося?
SPEAKER_36 | 1:16:35.262 --> 1:16:42.383 |  Я сам йшов до вас. Я давно вже про вас думав. У мене є пропозиція. Ми можемо допомогти одне одному.
SPEAKER_14 | 1:16:43.818 --> 1:16:44.408 |  Вимені!
SPEAKER_36 | 1:16:45.640 --> 1:16:59.798 |  Так, а ви мені? У мене є невеличкий капітал, я вмію продавати, знаю, що подобається людям. А ви вмієте готувати, як ніхто. Ми відкриємо ресторан, маленький, там, у новому світі, і назвемо його вашим іменем.
SPEAKER_14 | 1:17:1.520 --> 1:17:2.600 |  Про що ви говорите?
SPEAKER_36 | 1:17:3.376 --> 1:17:11.898 |  Я купив два квитки на океанський лейнер. Він відпливає з Гамбурга. У нас окремі місця. Ваше у відсіку для дам. Це щоб ви не хвилювалися.
SPEAKER_14 | 1:17:15.796 --> 1:17:16.623 |  Вибожевільний.
SPEAKER_36 | 1:17:18.74 --> 1:17:35.236 |  Повірте, цей старий світ не дає таким, як ми з вами, шансів. Тут тісно і темно у цьому місці, у цій неповороткій старій імперії. Але ми почнемо нове життя за океаном. Не поспішайте. Подумайте, у нас ще є час до відплеття, пані Чорненько.
SPEAKER_14 | 1:17:36.535 --> 1:17:42.610 |  А тепер послухайте ви. Я більше ніколи не бажаю вас ані бачити, ані чути.
SPEAKER_24 | 1:18:49.857 --> 1:18:52.490 |  Будь ласка, вітаю.
SPEAKER_37 | 1:18:52.490 --> 1:18:56.860 |  Дякую.
SPEAKER_23 | 1:19:11.103 --> 1:19:11.558 |  Юй!
SPEAKER_21 | 1:19:21.160 --> 1:19:54.337 |  Шановне панство, дозвольте зробити оголошення. Як ви знаєте, вже деякий час в нашому домі живе хлопчик. Ми його знайшли зовсім випадково. Можливо, це було і Боже проведення. Хлопчик був сиротою аж до сьогодні. Ми хочемо повідомити вам, що всі формальності погоджено. І від сьогодні Фелікс наш прийомний син. Дякую за перегляд!
SPEAKER_28 | 1:19:59.804 --> 1:20:0.209 |  Субтитрувальниця Оля Шор
SPEAKER_32 | 1:20:1.2 --> 1:20:1.19 |  Субтитрувальниця Оля Шор
SPEAKER_09 | 1:20:1.19 --> 1:20:1.36 |  Субтитрувальниця Оля Шор
SPEAKER_32 | 1:20:1.36 --> 1:20:2.842 |  Для вас, мамо.
SPEAKER_09 | 1:20:6.554 --> 1:20:6.571 |  Субтитрувальниця Оля Шор
SPEAKER_19 | 1:20:6.571 --> 1:20:7.381 |  Яка краса!
SPEAKER_09 | 1:20:7.718 --> 1:20:7.735 |  Субтитрувальниця Оля Шор
SPEAKER_19 | 1:20:7.735 --> 1:20:14.755 |  Дякую. Художник мені полистає.
SPEAKER_21 | 1:20:15.768 --> 1:20:18.907 |  Цей келих я хочу підняти за найпрекраснішу дружину свого.
SPEAKER_04 | 1:20:22.535 --> 1:20:25.235 |  Прошу частуватись, Олімпіадусі. За вас, пані Олімпіадусі.
SPEAKER_28 | 1:20:26.973 --> 1:20:27.23 |  Субтитрувальниця Оля Шор
SPEAKER_37 | 1:20:35.613 --> 1:20:39.494 |  Ось такий пляцок по-медіаланськи. Я не поштував і медіаланів.
SPEAKER_10 | 1:20:39.494 --> 1:20:43.679 |  Та ви не коштували ще піште кілька зранків? Рекомендую.
SPEAKER_37 | 1:20:44.168 --> 1:20:47.20 |  Яка благородна оделя, пригріла сироту.
SPEAKER_10 | 1:20:47.543 --> 1:20:48.117 |  Фея, кінець!
SPEAKER_37 | 1:20:48.117 --> 1:20:48.252 |  Дякую.
SPEAKER_10 | 1:20:48.252 --> 1:20:50.176 |  Дівчатко, іди браво.
SPEAKER_37 | 1:20:50.513 --> 1:20:54.732 |  Сиромашко, яка чудова прислуга вийшла.
SPEAKER_10 | 1:20:55.53 --> 1:20:55.154 |  Дякую за перегляд!
SPEAKER_37 | 1:20:55.812 --> 1:20:59.896 |  Диват, Аделіс, колек. Двох іліт, моє мане.
SPEAKER_21 | 1:21:17.58 --> 1:21:17.480 |  Бажаю.
SPEAKER_13 | 1:21:18.391 --> 1:21:20.804 |  Дай мені силу. Дай мені силу.
SPEAKER_21 | 1:21:22.998 --> 1:21:32.127 |  Стевцю, я тобі страшенно вдячний. Без тебе нічого б не було. Ти пробач мені, давні копини.
SPEAKER_28 | 1:21:33.308 --> 1:21:33.882 |  Дякую.
SPEAKER_21 | 1:21:36.751 --> 1:21:39.316 |  Просто знай, ти — наша сім'я.
SPEAKER_19 | 1:21:42.151 --> 1:21:48.513 |  Петро, коханий, ти схватив їх, а в тарілки насупив. Входімо, хостічка.
SPEAKER_28 | 1:21:49.70 --> 1:21:49.171 |  Субтитрувальниця Оля Шор
SPEAKER_19 | 1:21:49.171 --> 1:21:49.373 |  Дякую!
SPEAKER_28 | 1:21:49.373 --> 1:22:6.198 |  Ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла
SPEAKER_14 | 1:22:18.263 --> 1:22:38.75 |  Перепрошую, Ви, мій шановний пенцтву. Я мушу повідомити Україні важливу новину. Моя пані Аделя Сколик у дівецтві Ангер має давній любовний зв'язок із барухом тюремної каплиці, отцем Йосифом.
SPEAKER_06 | 1:22:39.138 --> 1:22:39.155 |  Субтитрувальниця Оля Шор
SPEAKER_21 | 1:22:39.155 --> 1:22:39.762 |  Так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так,
SPEAKER_14 | 1:22:40.15 --> 1:22:40.32 |  Субтитрувальниця Оля Шор
SPEAKER_13 | 1:22:40.32 --> 1:22:41.821 |  А, матка моска! Що?
SPEAKER_21 | 1:22:43.255 --> 1:22:46.377 |  Стефо, тобі, схоже, алкоголік вдарив в голову. Піди перепочинь.
SPEAKER_13 | 1:22:47.69 --> 1:22:47.997 |  Вибачте, я шукаю.
SPEAKER_14 | 1:22:47.997 --> 1:22:48.14 |  Субтитрувальниця Оля Шор
SPEAKER_13 | 1:22:48.723 --> 1:22:52.148 |  Я бачила все на власні очі. І в мене є докази.
SPEAKER_20 | 1:22:52.655 --> 1:23:4.822 |  Ні-ні, це неправда. Іванко? Іванко! Іванко! О, Боже, не іщу!
SPEAKER_09 | 1:23:4.822 --> 1:23:4.872 |  Субтитрувальниця Оля Шор
SPEAKER_20 | 1:23:4.872 --> 1:23:5.159 |  Дякую.
SPEAKER_09 | 1:23:5.159 --> 1:23:12.787 |  Іван, Іванко, ой лікаря, лікаря, о боже, Іванко.
SPEAKER_36 | 1:23:46.739 --> 1:23:48.646 |  Він золотий і твой злітень.
SPEAKER_10 | 1:24:44.215 --> 1:24:53.378 |  Дурнува та русинка, потворна баба, як вона набридла мені своїми вибриками. Треба було послухати ця батька і відправити її якнайдалі.
SPEAKER_06 | 1:25:13.173 --> 1:26:5.688 |  Моє шанування, пані Зузо. Перепрошую за образу, якою мимоволі завдав під час нашої останньої зустрічі. Все частіше думаю над вашою пропозицією і вирішив прийняти її. Віддати вам Стефу. Вам відомо, як воно потрапило у мій дім. Через жалюгідний вияв моєї слабкості. І ви мали рацію. Я не раз пожилкував про цей порив. Я помилився і нашкодив. Нашкодив насамперед Аделі. Але водночас і Стефі. Я хочу виправити свою помилку. Бодай перед смертю.
SPEAKER_13 | 1:26:6.818 --> 1:26:7.139 |  Дякую.
SPEAKER_14 | 1:26:7.139 --> 1:26:7.173 |  Субтитрувальниця Оля Шор
SPEAKER_13 | 1:26:7.730 --> 1:26:8.962 |  Вітаю до вас, Стефу.
SPEAKER_14 | 1:26:9.991 --> 1:26:15.87 |  І сподіваюсь, ви допоможете їй, викривленому.
SPEAKER_13 | 1:26:15.87 --> 1:26:15.323 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 1:26:15.323 --> 1:26:15.965 |  Сто в бюро.
SPEAKER_13 | 1:26:15.965 --> 1:26:15.998 |  Субтитрувальниця Оля Шор
SPEAKER_13 | 1:26:16.943 --> 1:26:18.563 |  знайти опору в собі.
SPEAKER_11 | 1:26:22.900 --> 1:26:38.122 |  А про мене хоч секунду подумав? Що? І ви мовчите? А ну, стій! Іди сюди! Не чіпай мене!
SPEAKER_10 | 1:26:49.124 --> 1:26:52.702 |  Залиш мене! Це мій дім, не твій. І ніколи не був твоїм.
SPEAKER_19 | 1:26:56.903 --> 1:27:3.333 |  Бачиш, не така я слабка, як ти думав.
SPEAKER_10 | 1:27:3.333 --> 1:27:3.772 |  Іванко.
SPEAKER_10 | 1:27:3.839 --> 1:27:4.463 |  Дякую.
SPEAKER_14 | 1:27:4.463 --> 1:27:5.105 |  Вона померла.
SPEAKER_10 | 1:27:5.324 --> 1:27:10.32 |  Ти забуваєш, що я донька доктора, вона буде жити, а от ти. Як же мені хочеться тебе вбити!
SPEAKER_14 | 1:27:9.3 --> 1:27:24.38 |  Я хочу тебе вбити! За що? За правду? За яку правду? Чи ти зварювала? Я бачила. Бачила вас у салоні, як він обіймав тебе. Божик.
SPEAKER_18 | 1:27:24.38 --> 1:27:25.692 |  – Це безсуровно. – Ідіотка!
SPEAKER_18 | 1:27:26.435 --> 1:27:40.728 |  То було в обійми радості. Бо сталося диво. Я влагала в ця Йосифа молитись за мене, і сама молилась так, як він навчив мене. І Господь почув наші молитви. Я вагітна, Стефо.
SPEAKER_14 | 1:27:55.949 --> 1:27:56.641 |  А панчовки?
SPEAKER_16 | 1:27:56.641 --> 1:28:4.977 |  Чому в нього були твої панчохи? Це був мій подарунок Іванці. Йосиф його побачив і повернув.
SPEAKER_20 | 1:28:17.448 --> 1:28:19.405 |  Куди ще пані Стефіни має?
SPEAKER_20 | 1:28:20.705 --> 1:28:23.962 |  Я хотів попрощатися з вами обома.
SPEAKER_03 | 1:28:24.653 --> 1:28:26.341 |  Я попрощалася, чому?
SPEAKER_20 | 1:28:27.809 --> 1:28:29.193 |  Я відіжджаю сьогодні.
SPEAKER_04 | 1:28:31.538 --> 1:28:35.858 |  Правді? А дозвольте попрощатися за нас обох?
SPEAKER_18 | 1:28:41.849 --> 1:28:57.745 |  Як же я втомилася від тебе, Стефо. Я вже навіть не знаю, хто ти мені. Чи сестра, чи подруга. Служнинця. Чи маєш у тебе одна глядачка? Я твою слухаю.
SPEAKER_13 | 1:28:57.745 --> 1:28:58.522 |  Знайти Аделю.
SPEAKER_18 | 1:28:58.758 --> 1:29:23.210 |  Якщо ти моя сложниця, тоді чому я весь час бажаю на свої слова у твоїй присутності? Чому для мене настільки важливі твої почуття, важлива твоя думка? А якщо сестра, тоді чому ми не робимо все разом? Чому ти не сміхаєшся з мене, коли я бодай у чомусь намагаюсь тобі допомогти? І ти завжди підкреслюєш, що я пані, а ти ніхто.
SPEAKER_13 | 1:29:29.234 --> 1:29:33.267 |  Не знаю. Нічого вже не знаю, Адельо.
SPEAKER_18 | 1:29:38.228 --> 1:29:39.140 |  Не торкайся мене.
SPEAKER_13 | 1:29:44.860 --> 1:29:48.488 |  Чому ти не надіслала пані Зузі батькового листа?
SPEAKER_18 | 1:29:55.728 --> 1:30:5.161 |  Не надіслала, бо дурна. Не могла, не хотіла, не вміла бути без тебе.
SPEAKER_08 | 1:30:9.903 --> 1:30:12.552 |  У мене буде дитя, ти можеш цим повірити.
SPEAKER_14 | 1:30:21.344 --> 1:30:24.27 |  Боже, будинок горить!
SPEAKER_11 | 1:30:25.124 --> 1:30:25.799 |  Ні!
SPEAKER_14 | 1:30:25.799 --> 1:30:26.963 |  Закрій рот, Вініс!
SPEAKER_11 | 1:30:26.963 --> 1:30:33.38 |  І не бійся! Нас не бере вогонь!
SPEAKER_14 | 1:30:33.38 --> 1:30:33.595 |  Побігайте!
SPEAKER_13 | 1:30:57.52 --> 1:31:12.526 |  Адельцю? Що ти? Не лишай мене. Повернись. Фелікса! Ми тут!
SPEAKER_31 | 1:31:30.278 --> 1:31:31.38 |  Дорозі.
SPEAKER_14 | 1:31:31.38 --> 1:31:31.358 |  Дякую.
SPEAKER_14 | 1:31:31.426 --> 1:31:31.730 |  Дякую!
SPEAKER_14 | 1:31:31.932 --> 1:31:37.636 |  Шшш. Це тільки сон. Просто сон. Зараз. Зараз усе минається.
SPEAKER_06 | 1:31:39.239 --> 1:31:59.303 |  Слухай, Стефо. Слухай уважно дитину. Ви зі Делею, як два дерева, що сплилися стовбурами. Подумай про неї. Подумай про своє життя. Тобі буде важко, але ти мусиш. Що?
SPEAKER_06 | 1:31:59.337 --> 1:31:59.590 |  Дякую!
SPEAKER_06 | 1:31:59.776 --> 1:32:12.770 |  Ти мусиш Аделю лишити. Мусиш лишити!
SPEAKER_08 | 1:32:17.680 --> 1:32:21.983 |  Пашик, пробач мене, пробач мене.
SPEAKER_14 | 1:32:51.717 --> 1:33:2.551 |  Моє ім'я Стефанія Чорненько, простолюдонька, від самого дитинства служниця, але з цієї миті вільна людина.
SPEAKER_34 | 1:33:23.965 --> 1:33:55.775 |  Не один втонув, тут човен, та не хоч ти ще втонув. Хоч вийде, чи не вернуло, то десятий повернув. А хто знає, може, бурю іму, но спасешся ти. Може, їм видно, тобіся вдасться цілий доплисти.
SPEAKER_05 | 1:34:12.177 --> 1:35:25.195 |  Спавільне небо льс, розсипане зілля, більше я не боюсь, я вільна, вільна. На сіром одлі, що з білим так схожий, писали ні, як не я, зможу, зможу, зможу. Мої стіни бачили ріки слів, мої стіни чули моря зі слів, В стінах зародилася моє я, Там втікали ріки в мої моря. Мої стіни бачили ріки слів, Мої стіни чули моря зі слів. В стінах зародилася моє я, Там втікали ріки в мої моря. А тепер я на волі, Ти веди лише перед моє коліє, Ти веди, не звертай і не зупиняй, Я не та, і нового дня я не бою. Дякую за перегляд!
SPEAKER_05 | 1:35:25.668 --> 1:35:25.972 |  Дякую!
SPEAKER_28 | 1:35:25.972 --> 1:35:32.30 |  Субтитрувальниця Оля Шор
SPEAKER_05 | 1:35:42.526 --> 1:36:39.226 |  Казали, зірвуть, казали, безсилен Я цих слів не боюсь, бо вільна, вільна, вільна вігна Шукатиму шлях складний та прекрасний Вогонь у мене не схасне, ой, не схасне А тепер я на волі, ти вийдеш вперед, моя полія Ти веди, не звертай і не зупиняй, я не та, і нового дня я не боюсь Тепер я вільна, я вільна, вільна, вільна, вільна, вільна, вільна Я не боюсь, тепер я вільна, я вільна, вільна, вільна, вільна, вільна, вільна
SPEAKER_28 | 1:36:39.226 --> 1:36:51.865 |  Ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла
